camera,frame,id,class_name,confidence,x_center,y_center
CAMERA_DEBUT_COULOIR_DROIT.mp4,110,8,person,0.28,375.9784,644.82837
CAMERA_DEBUT_COULOIR_DROIT.mp4,122,30,person,0.32,345.34967,640.2622
CAMERA_DEBUT_COULOIR_DROIT.mp4,123,30,person,0.37,345.34424,639.9029
CAMERA_DEBUT_COULOIR_DROIT.mp4,124,30,person,0.41,345.23492,640.1034
CAMERA_DEBUT_COULOIR_DROIT.mp4,124,42,person,0.4,378.63147,645.79926
CAMERA_DEBUT_COULOIR_DROIT.mp4,124,23,person,0.27,365.28925,644.2294
CAMERA_DEBUT_COULOIR_DROIT.mp4,125,30,person,0.41,345.07678,640.1897
CAMERA_DEBUT_COULOIR_DROIT.mp4,125,42,person,0.42,378.64142,645.16797
CAMERA_DEBUT_COULOIR_DROIT.mp4,125,23,person,0.29,365.71967,643.98474
CAMERA_DEBUT_COULOIR_DROIT.mp4,126,30,person,0.42,344.8012,640.30664
CAMERA_DEBUT_COULOIR_DROIT.mp4,126,42,person,0.41,378.00275,645.5103
CAMERA_DEBUT_COULOIR_DROIT.mp4,126,23,person,0.27,365.3969,644.27203
CAMERA_DEBUT_COULOIR_DROIT.mp4,127,30,person,0.43,345.15588,640.14075
CAMERA_DEBUT_COULOIR_DROIT.mp4,127,42,person,0.42,377.88107,645.4009
CAMERA_DEBUT_COULOIR_DROIT.mp4,127,43,person,0.49,665.103,894.7678
CAMERA_DEBUT_COULOIR_DROIT.mp4,128,30,person,0.44,345.3408,640.17944
CAMERA_DEBUT_COULOIR_DROIT.mp4,128,42,person,0.53,377.67365,645.6018
CAMERA_DEBUT_COULOIR_DROIT.mp4,128,43,person,0.57,660.75635,895.5829
CAMERA_DEBUT_COULOIR_DROIT.mp4,129,30,person,0.42,345.2004,640.3043
CAMERA_DEBUT_COULOIR_DROIT.mp4,129,42,person,0.57,377.71942,645.5181
CAMERA_DEBUT_COULOIR_DROIT.mp4,129,43,person,0.73,655.3602,897.2062
CAMERA_DEBUT_COULOIR_DROIT.mp4,130,30,person,0.43,345.27463,640.5073
CAMERA_DEBUT_COULOIR_DROIT.mp4,130,42,person,0.63,377.6374,645.4211
CAMERA_DEBUT_COULOIR_DROIT.mp4,130,43,person,0.59,648.4331,899.06635
CAMERA_DEBUT_COULOIR_DROIT.mp4,130,45,person,0.36,370.15613,645.27136
CAMERA_DEBUT_COULOIR_DROIT.mp4,131,30,person,0.42,345.1313,640.6041
CAMERA_DEBUT_COULOIR_DROIT.mp4,131,42,person,0.6,377.75537,645.3074
CAMERA_DEBUT_COULOIR_DROIT.mp4,131,43,person,0.55,644.7655,900.5286
CAMERA_DEBUT_COULOIR_DROIT.mp4,131,45,person,0.37,369.3097,645.10034
CAMERA_DEBUT_COULOIR_DROIT.mp4,132,30,person,0.39,344.97314,640.57983
CAMERA_DEBUT_COULOIR_DROIT.mp4,132,42,person,0.63,377.72058,645.29944
CAMERA_DEBUT_COULOIR_DROIT.mp4,132,43,person,0.58,650.96906,903.51355
CAMERA_DEBUT_COULOIR_DROIT.mp4,132,45,person,0.39,369.01752,645.2407
CAMERA_DEBUT_COULOIR_DROIT.mp4,132,46,person,0.54,674.7543,904.3502
CAMERA_DEBUT_COULOIR_DROIT.mp4,133,30,person,0.38,344.96033,640.72034
CAMERA_DEBUT_COULOIR_DROIT.mp4,133,42,person,0.58,377.58655,645.9558
CAMERA_DEBUT_COULOIR_DROIT.mp4,133,43,person,0.69,642.6927,906.0325
CAMERA_DEBUT_COULOIR_DROIT.mp4,133,45,person,0.39,366.1882,645.5349
CAMERA_DEBUT_COULOIR_DROIT.mp4,134,30,person,0.38,344.88,640.52295
CAMERA_DEBUT_COULOIR_DROIT.mp4,134,42,person,0.54,377.93036,645.4208
CAMERA_DEBUT_COULOIR_DROIT.mp4,134,43,person,0.55,652.20886,906.37994
CAMERA_DEBUT_COULOIR_DROIT.mp4,134,45,person,0.34,366.2312,645.70544
CAMERA_DEBUT_COULOIR_DROIT.mp4,134,46,person,0.26,679.4821,905.78796
CAMERA_DEBUT_COULOIR_DROIT.mp4,135,30,person,0.32,344.97083,640.22314
CAMERA_DEBUT_COULOIR_DROIT.mp4,135,42,person,0.46,378.03604,645.3661
CAMERA_DEBUT_COULOIR_DROIT.mp4,135,43,person,0.61,659.6101,906.36975
CAMERA_DEBUT_COULOIR_DROIT.mp4,135,45,person,0.28,365.13287,645.4051
CAMERA_DEBUT_COULOIR_DROIT.mp4,136,30,person,0.35,342.9217,640.3642
CAMERA_DEBUT_COULOIR_DROIT.mp4,136,42,person,0.46,378.1013,645.12305
CAMERA_DEBUT_COULOIR_DROIT.mp4,136,43,person,0.56,665.40063,906.2366
CAMERA_DEBUT_COULOIR_DROIT.mp4,136,45,person,0.3,364.7962,645.1598
CAMERA_DEBUT_COULOIR_DROIT.mp4,137,30,person,0.32,342.10968,640.24536
